ID,Firstname,Surname,Born,Gender,Year,CategoryID,Share,Motivation,Affiliation at time of award,City,CountryID
918,Thomas C.,Sôdhof,12/22/1955,1,2013,4,3,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",Stanford University,"Stanford, CA",64
919,Thomas C.,Sôdhof,12/22/1955,1,2013,4,3,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",Howard Hughes Medical Institute,,29
920,Franois,Englert,11/06/1932,1,2013,6,2,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",Universit_ Libre de Bruxelles,Brussels,6
921,Peter W.,Higgs,5/29/1929,1,2013,6,2,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",University of Edinburgh,Edinburgh,63
922,Martin,Karplus,3/15/1930,1,2013,1,3,"""for the development of multiscale models for complex chemical systems""",Harvard University,"Cambridge, MA",64
923,Martin,Karplus,3/15/1930,1,2013,1,3,"""for the development of multiscale models for complex chemical systems""",Universit_ de Strasbourg,Strasbourg,19
924,Michael,Levitt,5/09/1947,1,2013,1,3,"""for the development of multiscale models for complex chemical systems""",Stanford University School of Medicine,"Stanford, CA",64
925,Arieh,Warshel,11/20/1940,1,2013,1,3,"""for the development of multiscale models for complex chemical systems""",University of Southern California,"Los Angeles, CA",64
926,Alice,Munro,7/10/1931,0,2013,3,1,"""master of the contemporary short story""",,,9
927,Organisation for the Prohibition of Chemical Weapons (OPCW),,,org,2013,5,1,"""for its extensive efforts to eliminate chemical weapons""",,,29
928,Eugene F.,Fama,2/14/1939,1,2013,2,3,"""for their empirical analysis of asset prices""",University of Chicago,"Chicago, IL",64
929,Lars Peter,Hansen,10/26/1952,1,2013,2,3,"""for their empirical analysis of asset prices""",University of Chicago,"Chicago, IL",64
930,Robert J.,Shiller,3/29/1946,1,2013,2,3,"""for their empirical analysis of asset prices""",Yale University,"New Haven, CT",64
931,,,0000/00/00,1,,#N/A,,,,,29
932,,,0000/00/00,1,,#N/A,,,,,29
933,,,0000/00/00,1,,#N/A,,,,,29
934,,,0000/00/00,1,,#N/A,,,,,29
935,,,0000/00/00,1,,#N/A,,,,,29
936,,,0000/00/00,1,,#N/A,,,,,29
937,John,O'Keefe,11/18/1939,1,2014,4,2,"""for their discoveries of cells that constitute a positioning system in the brain""",University College,London,63
938,May-Britt,Moser,1/04/1963,0,2014,4,4,"""for their discoveries of cells that constitute a positioning system in the brain""",Norwegian University of Science and Technology (NTNU),Trondheim,44
939,Edvard I.,Moser,4/27/1962,1,2014,4,4,"""for their discoveries of cells that constitute a positioning system in the brain""",Norwegian University of Science and Technology (NTNU),Trondheim,44
940,Isamu,Akasaki,1/30/1929,1,2014,6,3,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",Meijo University,Nagoya,34
941,Isamu,Akasaki,1/30/1929,1,2014,6,3,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",Nagoya University,Nagoya,34
942,Hiroshi,Amano,9/11/1960,1,2014,6,3,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",Nagoya University,Nagoya,34
943,Shuji,Nakamura,5/22/1954,1,2014,6,3,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",University of California,"Santa Barbara, CA",64
944,Eric,Betzig,1/13/1960,1,2014,1,3,"""for the development of super-resolved fluorescence microscopy""","Janelia Research Campus, Howard Hughes Medical Institute","Ashburn, VA",64
945,Stefan W.,Hell,12/23/1962,1,2014,1,3,"""for the development of super-resolved fluorescence microscopy""",Max Planck Institute for Biophysical Chemistry,G_ttingen,20
946,Stefan W.,Hell,12/23/1962,1,2014,1,3,"""for the development of super-resolved fluorescence microscopy""",German Cancer Research Center,Heidelberg,20
947,William E.,Moerner,6/24/1953,1,2014,1,3,"""for the development of super-resolved fluorescence microscopy""",Stanford University,"Stanford, CA",64
948,Patrick,Modiano,7/30/1945,1,2014,3,1,"""for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation""""""",,,19
949,Kailash,Satyarthi,1/11/1954,1,2014,5,2,"""for their struggle against the suppression of children and young people and for the right of all children to education""",,,28
950,Malala,Yousafzai,7/12/1997,0,2014,5,2,"""for their struggle against the suppression of children and young people and for the right of all children to education""",,,45
951,Jean,Tirole,8/09/1953,1,2014,2,1,"""for his analysis of market power and regulation""",Toulouse School of Economics (TSE),Toulouse,19
952,William C.,Campbell,6/28/1930,1,2015,4,4,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",Drew University,"Madison, NJ",64
953,Satoshi,&#332;mura,7/12/1935,1,2015,4,4,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",Kitasato University,Tokyo,34
954,Youyou,Tu,12/30/1930,0,2015,4,2,"""for her discoveries concerning a novel therapy against Malaria""",China Academy of Traditional Chinese Medicine,Beijing,11
955,Takaaki,Kajita,3/09/1959,1,2015,6,2,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass""",University of Tokyo,Kashiwa,34
956,Arthur B.,McDonald,8/29/1943,1,2015,6,2,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass""",Queen's University,Kingston,9
957,Tomas,Lindahl,1/28/1938,1,2015,1,3,"""for mechanistic studies of DNA repair""",Francis Crick Institute,Hertfordshire,63
958,Tomas,Lindahl,1/28/1938,1,2015,1,3,"""for mechanistic studies of DNA repair""",Clare Hall Laboratory,Hertfordshire,63
959,Paul,Modrich,6/13/1946,1,2015,1,3,"""for mechanistic studies of DNA repair""",Howard Hughes Medical Institute,"Durham, NC",64
960,Paul,Modrich,6/13/1946,1,2015,1,3,"""for mechanistic studies of DNA repair""",Duke University School of Medicine,"Durham, NC",64
961,Aziz,Sancar,9/08/1946,1,2015,1,3,"""for mechanistic studies of DNA repair""",University of North Carolina,"Chapel Hill, NC",64
962,Svetlana,Alexievich,5/31/1948,0,2015,3,1,"""for her polyphonic writings, a monument to suffering and courage in our time""",,,62
963,National Dialogue Quartet,,,org,2015,5,1,"""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",,,29
964,Angus,Deaton,10/19/1945,1,2015,2,1,"""for his analysis of consumption, poverty, and welfare""",Princeton University,"Princeton, NJ",64
965,Yoshinori,Ohsumi,9/02/1945,1,2016,4,1,"""for his discoveries of mechanisms for autophagy""",Tokyo Institute of Technology,Tokyo,34
966,David J.,Thouless,21/09/1934,1,2016,6,2,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",University of Washington,"Seattle, WA",64
967,F. Duncan M.,Haldane,14/09/1951,1,2016,6,4,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",Princeton University,"Princeton, NJ",64
968,J. Michael,Kosterlitz,22/06/1943,1,2016,6,4,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",Brown University,"Providence, RI",64
969,Jean-Pierre,Sauvage,21/10/1944,1,2016,1,3,"""for the design and synthesis of molecular machines""",University of Strasbourg,Strasbourg,19
970,Sir J. Fraser,Stoddart,24/05/1944,1,2016,1,3,"""for the design and synthesis of molecular machines""",Northwestern University,"Evanston, IL",64
971,Bernard L.,Feringa,18/05/1951,1,2016,1,3,"""for the design and synthesis of molecular machines""",University of Groningen,Groningen,58
972,Juan Manuel,Santos,10/08/1951,1,2016,5,1,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end""",,,12
